Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"KEC Emmen",Niederlande,235,105,327999465
"Vicship Kōbe",Japan,126,118,327378788
"Puglia Andria",Italien,221,81,327350721
"RBSC Hamilton",Bermuda,123,115,327248451
"FV Bari",Italien,153,106,327246961
"Ferriby Fighter",England,181,137,327151004
"Club Aoraki CF",Neuseeland,131,123,326566191
"Breisgauer SV",Deutschland,286,126,326521730
"FC Peairt 1885",Schottland,251,168,326187656
"Preston City",England,211,151,326009789
"Ethnokos Evosmos",Griechenland,142,135,325955054
"TSG Goslar 1923",Deutschland,188,111,325503302
"Hellas Almelo",Niederlande,213,136,324788608
"SI Hobro",Dänemark,190,131,324654108
"ZFK Pemba Jamhuri",Sansibar,126,118,324334181
"AAC Coimbra",Portugal,139,111,323581169
"AC Empoli",Italien,225,112,323291644
"FC Brinkum",Deutschland,153,105,323174734
"FC Boşakşehir",Türkei,270,80,322889536
"FC Aalborg",Dänemark,227,162,322534779
"SC Sapins",Barbados,128,120,322287352
"Lood Volendam",Niederlande,182,138,322166533
"SC Moanda",Gabun,166,139,321682132
"SV Intra Leipzig",Deutschland,223,116,321629833
"LU Sul Saurimo",Angola,139,131,321472235
"HOM Edinburgh",Schottland,221,149,321450317
"Jílì Qinhuangdao FC",China,136,128,320392092
"Estordiantes San Luis",Argentinien,133,125,320047551
"RCD Sinarcas",Spanien,180,159,320002695
"Shanghai FC",China,247,131,319984013
"Sporting Macapa",Brasilien,134,128,319516743
"FF Sollenau 1905",Österreich,197,152,319342681
"RSD Talangaï","Republik Kongo",131,123,318619872
"Akture SC",Bhutan,137,129,318619138
"Adler Sprockhövel",Deutschland,177,112,317937691
"KFC Bugesera",Ruanda,121,113,317897163
"Lahut Idzevan",Armenien,125,117,317668129
"Chiopos Jaguares",Mexiko,128,106,317250723
"CF Veracruz Rojos",Mexiko,142,131,317236926
"FCU Haibach",Deutschland,249,142,316669367
"CF San Estanislao",Paraguay,130,122,316535906
"AK Wallern",Österreich,153,147,316264009
"Mbeniem FC",Sansibar,136,131,316012379
"Birmingham Town",England,205,144,315838169
"KSA Siedlce",Polen,116,108,315796349
"Inter Senica",Slowakei,124,116,315412985
"Séfélag Selfoss",Island,167,105,315290107
"FC Den Haag",Niederlande,172,98,314835683
"Young Bovinis SC",Swasiland,142,135,314445297
"Saint Ptuj 1935",Slowenien,99,91,314354940
"Dirgan FC",Nicaragua,140,133,314036863
"Deportiva Fuenlabrada",Spanien,222,137,313754118
"Sporting Boavista",Portugal,213,111,313604176
"Union Stadlau",Österreich,174,104,313515612
"Gunçlorbirleği AK",Türkei,263,109,313418833
"Lyrtish Pavlodar",Kasachstan,124,117,313029815
"SC Lokhopi",Lesotho,149,141,312170143
"BW Linz 1998",Österreich,212,116,312061411
"DAX Silkeborg",Dänemark,183,120,310877244
"Eastbourne Union",England,110,102,310764713
"KS Instqol",Tadschikistan,214,143,310607249
"Aigionikos FC",Griechenland,116,107,310574433
"SD Arezzo",Italien,130,122,310335418
"Tunis Le Bardo",Tunesien,123,115,309984789
"FV Budapest",Ungarn,249,134,309426740
"FV Welle Kunduz",Afghanistan,143,135,309105747
"Blackburn Roses",England,307,78,309092497
"OL Grorud",Norwegen,142,134,309076565
"Nabyla Qostanai",Kasachstan,135,127,308613206
"Bath CA",England,119,106,308412168
"Sporting Cerro",Uruguay,225,135,308328231
"Berlin United",Deutschland,230,117,308322273
"FKS Kołobrzeg",Polen,131,124,308318422
"Vempers United",St. Lucia,173,144,308242262
"Atletico Bergamo",Italien,292,158,308147061
"Real Guangzhou",China,140,131,308078836
"Royal Murcia",Spanien,172,99,307980555
"Dynamit Berlin CF",Deutschland,202,118,307797128
"HB Edinburgh",Schottland,192,123,307574428
"KV Aktobe 1965",Kasachstan,162,111,307140334
"Leones Turbo",Kolumbien,117,109,307100168
"SSC Pirmasens",Deutschland,173,90,306755073
"AS Grand Case",Saint-Martin,134,128,306534059
"Sportivo Thio",Neukaledonien,133,125,306246446
"BPS Landskrona",Schweden,132,124,306151634
"CS Onda",Spanien,179,123,306117657
"Štirovnik Cetinje",Montenegro,170,135,306064065
"EIvira Birds",Vanuatu,139,131,305627967
"Lakepa City",Niue,127,119,305605531
"Union Lommel",Belgien,288,151,305410595
"Spotivo Zigi",Senegal,122,115,305284498
"VfB Rain 1898",Deutschland,283,134,305164231
"Coleraine United",Nordirland,223,154,304549484
"Wimbledon Soccer",England,137,99,304443783
"FC Miranda",Spanien,182,107,303620448
"Forrest Borehamwood",England,177,134,303545416
"BA Caballito",Argentinien,136,129,303513572
"Linzer AK",Österreich,189,125,303147884
"Juve Buenos Aires",Argentinien,174,141,302669470
"Podla Białystok",Polen,125,119,302614715
"Sportsko Zenica","Bosnien und Herzegowina",280,127,302234198
"Bunye FC",Äthiopien,140,132,301884086
"Zmajevi Voždovac",Serbien,92,82,301844792
"VVC Boka Sami",Curaçao,138,130,301346459
"Paradise Fit FC",Guam,134,126,301167027
"Makwane Stars",Südafrika,123,115,300916818
"Intra Turku",Finnland,275,137,300891608
"CF Boyacá Tunja",Kolumbien,143,136,300781021
"SFV Koblenz",Deutschland,218,74,300731214
"Plate Arube C.F.",Aruba,136,129,300726638
"Zhunya Kursk",Russland,139,131,300152599
